id	name	L1denovo	L1Pol	L1HS	Control
Mononucleotide	Mononucleotides	1_10.bed	2_10.bed	3_10.bed	0_10.bed
Dinucleotide	Dinucleotides	1_4.bed	2_4.bed	3_4.bed	0_4.bed
Trinucleotide	Trinucleotides	1_15.bed	2_15.bed	3_15.bed	0_15.bed
Tetranucleotide	Tetranucleotides	1_14.bed	2_14.bed	3_14.bed	0_14.bed
Morethan1_nuc	Microsatellites di- tri- tetra-nucleotide	1_24.bed	2_24.bed	3_24.bed	0_24.bed
DNA_Transposons	DNA transposons	1_6.bed	2_6.bed	3_6.bed	0_6.bed
SINE_Alu	Alu	1_18.bed	2_18.bed	3_18.bed	0_18.bed
SINE_MIR	MIR	1_19.bed	2_19.bed	3_19.bed	0_19.bed
LTR_Elements	LTR elements	1_8.bed	2_8.bed	3_8.bed	0_8.bed
L1_Targets	L1 target motifs	1_46.bed	2_46.bed	3_46.bed	0_46.bed
LINE_L2	L2	1_20.bed	2_20.bed	3_20.bed	0_20.bed
LINE_L3	L3	1_21.bed	2_21.bed	3_21.bed	0_21.bed
LINE_L2&L3	L2 and L3	1_23.bed	2_23.bed	3_23.bed	0_23.bed
CpG_Islands	CpG islands	1_31.bed	2_31.bed	3_31.bed	0_31.bed
CpG_Islands_Count	CpG islands counts	1_32.bed	2_32.bed	3_32.bed	0_32.bed
5hMc	5-hydroxymethylcytosine	1_25.bed	2_25.bed	3_25.bed	0_25.bed
Sperm_hypometh	Sperm hypomethylation	1_26.bed	2_26.bed	3_26.bed	0_26.bed
Rep_origin	Replication origin	1_27.bed	2_27.bed	3_27.bed	0_27.bed
Female_Recom_Hot	Female recombination hotspots	1_28.bed	2_28.bed	3_28.bed	0_28.bed
Male_Recom_Hot	Male recombination hotspots	1_29.bed	2_29.bed	3_29.bed	0_29.bed
Recombination_Hot	Sex-averaged recombination hotspots	1_30.bed	2_30.bed	3_30.bed	0_30.bed
Exon_Expression	hESC exon expression	1_33.bed	2_33.bed	3_33.bed	0_33.bed
Gene_Expression	hESC gene expression	1_34.bed	2_34.bed	3_34.bed	0_34.bed
Tracript_Expression	hESC transcript expression	1_35.bed	2_35.bed	3_35.bed	0_35.bed
Testis_Expression	Testis expression	1_36.bed	2_36.bed	3_36.bed	0_36.bed
chh_meth	CHH Methylation	1_48.bed	2_48.bed	3_48.bed	0_48.bed
chg_meth	CHG Methylation	1_49.bed	2_49.bed	3_49.bed	0_49.bed
cpg_meth	CPG Methylation	1_50.bed	2_50.bed	3_50.bed	0_50.bed
Dis_Telo	Distance to telomere	1_37.bed	2_37.bed	3_37.bed	0_37.bed
Dis_Cent	Distance to centromere	1_38.bed	2_38.bed	3_38.bed	0_38.bed
Rep_Timing	Replication timing	1_39.bed	2_39.bed	3_39.bed	0_39.bed
Female_Recom_Rate	Female recombination rate	1_43.bed	2_43.bed	3_43.bed	0_43.bed
Male_Recom_Rate	Male recombination rate	1_44.bed	2_44.bed	3_44.bed	0_44.bed
Average_Recom_Rate	Averaged recombination rate	1_45.bed	2_45.bed	3_45.bed	0_45.bed
Telomere_Hexamer	Telomere hexamer	1_47.bed	2_47.bed	3_47.bed	0_47.bed
